Vehicle,restaurant,food delivery,Problem,work,เวลาในการรออาหาร,ราคาอาหาร
รถประจำทาง,อาหารตามสั่ง,, ถ้าคิวยาวเกินจะเลือกร้านอื่นแทน,,6 - 10 นาที,100-200 บาท
เดิน,อาหารตามสั่ง,เพราะว่าขี้เกียจออกไปซื้อ,เบื่ื่อร้านอาหารที่มีอยู่,,1 - 5 นาที,51-100บาท
รถยนต์ส่วนตัว,"ก๋วยเตี๋ยว, อาหารตามสั่ง, ข้าวมันไก่, ข้าวราดแกง, ร้านน้ำ, ร้านกาแฟ",เลือกอาหารที่โปรโมชั่น,ไม่รู้จะกินอะไร,,6 - 10 นาที,100-200 บาท
เดิน,ข้าวไข่เจียว,กินกันหลายคน,ไม่มีโต๊ะนั้งกินข้าว,,10 นาทีขึ้นไป,51-100บาท
รถจักรยานยนต์,ร้านอาหารญี่ปุ่น,ร้านอยู่ไกล ไปลำบาก,กินอาหารน้อยลง ,,10 นาทีขึ้นไป,100-200 บาท
เดิน,ร้านยำ,ต้องอยากกินจริงๆโดยที่ตัวเองไม่สามารถไปซื้อได้,อยากกินร้านอาหารข้างนอก,,6 - 10 นาที,51-100บาท
รถจักรยานยนต์,อาหารตามสั่ง,สะดวก ไม่ต้องยืนรอคิว,ร้านอาหารมีคิวเยอะ ,,6 - 10 นาที,500 ขึ้นไป
รถจักรยานยนต์,อาหารตามสั่ง,เลือกอาหารที่อยากรับประทาน,เลิกเรียนช้า ทำให้ไม่เหลืออะไรให้กินเลย,,6 - 10 นาที,100-200 บาท
เดิน,"ก๋วยเตี๋ยว, อาหารตามสั่ง, ข้าวมันไก่, ข้าวราดแกง, ร้านน้ำ, ร้านกาแฟ",คงเพราะ ไม่สามารถไปร้านได้จริงๆ,มีเวลาพักกินข้าวน้อย,,1 - 5 นาที,51-100บาท
รถจักรยานยนต์,อาหารตามสั่ง,,ไม่อยากกินอาหารจำเจ,,10 นาทีขึ้นไป,300-500 บาท
รถจักรยานยนต์,"ก๋วยเตี๋ยว, อาหารตามสั่ง, ข้าวมันไก่, ข้าวราดแกง, ร้านน้ำ, ร้านกาแฟ",สะดวกสบาย,ไม่มีอาหารที่อยากกิน,,10 นาทีขึ้นไป,300-500 บาท
รถยนต์,"ก๋วยเตี๋ยว, อาหารตามสั่ง, ข้าวมันไก่, ข้าวราดแกง, ร้านน้ำ, ร้านกาแฟ",หิวครับ,หาโต๊ะนั้งไม่ได้,,10 นาทีขึ้นไป,500 ขึ้นไป
รถจักรยาน,อาหารตามสั่ง,ขี้เกียจ,ไม่ชอบกลิ่นที่โรงอาหาร,,6 - 10 นาที,300-500 บาท
รถยนต์ส่วนตัว,,ขี้เกียจออกไปข้างนอก,คณะอื่นเยอะมาก อาหารซ้ำซาก บางทีอยากกินแถวซอยหอ แต่เวลาก็ไม่ค่อยพอ เลยต้องกินในคณะไปก่อน โรงอาหารร้อนมาก และอบมาก ,,10 นาทีขึ้นไป,100-200 บาท
รถจักรยาน,"ก๋วยเตี๋ยว, อาหารตามสั่ง, ข้าวมันไก่, ข้าวราดแกง, ร้านน้ำ, ร้านกาแฟ",ไม่สะดวกออกไปซื้อ,"ควันเยอะ, ร้อน, แมลงวัน ไม่ค่อยน่านั่ง",,6 - 10 นาที,100-200 บาท
เดิน,,ขี้เกียจออกจากหอ,คนเยอะ ต่อคิวนาน,,6 - 10 นาที,100-200 บาท
เดิน,,ขี้เกียจออกไปซื้อเอง + ถ้าเป็นช่วงสอบ การออกไปข้างนอกจะเสียเวลาค่อนข้างมาก,อาจาร์ยสอนเกินเวลาไม่มีอาหารเหลือให้กิน,,1 - 5 นาที,100-200 บาท
รถจักรยานยนต์,"ก๋วยเตี๋ยว, อาหารตามสั่ง, ข้าวมันไก่, ข้าวราดแกง, ร้านน้ำ, ร้านกาแฟ","ตัวเลือกอาหารหลากหลาย, บางทีไม่สะดวกออกไปซื้อเอง",ขี้เกียจต่อแถว,,6 - 10 นาที,51-100บาท
รถประจำทาง,,สะดวกสบาย,คนเยอะ เบื่ออาหารในคณะ วุ่นวาย ร้อน,,1 - 5 นาที,100-200 บาท
รถจักรยาน,,สะดวก สบาย ไม่ต้องเดินทาง ไม่ต้องเสียเวลาเดินทางไปซื้ออาหาร,มาทำงานวันหยุดไม่มีร้านอาหารเปิด,,10 นาทีขึ้นไป,51-100บาท
รถยนต์ส่วนตัว,"ก๋วยเตี๋ยว, อาหารตามสั่ง, ข้าวมันไก่, ข้าวราดแกง, ร้านน้ำ, ร้านกาแฟ",ความสะดวก,ทำงานดึกทำให้ไม่มีร้านอาหารเปิด,,10 นาทีขึ้นไป,100-200 บาท
เดิน,ข้าวราดแกง,สะดวก รวดเร็ว,ร้านอาหารมีจำนวนไม่มากพอที่จะรับจำนวนนักศึกษา,,6 - 10 นาที,100-200 บาท
รถจักรยาน,"ก๋วยเตี๋ยว, อาหารตามสั่ง, ข้าวมันไก่, ข้าวราดแกง, ร้านน้ำ, ร้านกาแฟ",อยากกินอาหารสิ่งนั้นๆ,โดนลัดคิว,,10 - 20 นาที,100-200 บาท
รถจักรยานยนต์,อาหารตามสั่ง,ได้กินอาหารที่อยากกิน,ต่อคิวนาน คนเยอะมาก เนื่องจากหลายคณะมากินโรงอาหารเดียวกับเรา ทำให้บางร้านต้องรอคิวนาน และอาหารไม่ค่อยหลากหลาย,,มากกว่า 30 นาที,100-200 บาท
รถจักรยานยนต์,ราเมง,ไม่อยากออกไปข้างนอก,ควันที่ร้านข้าวตามสั่งทำเยอะทำให้ไม่อยากกิน,,1 - 10 นาที,100-200 บาท
รถยนต์ส่วนตัว,ร้านอาหารญี่ปุ่น,สะดวก,ไม่รู้จะกินอะไร,,10 - 20 นาที,51-100บาท
เดิน,ร้านซูชิ,โปรโมชั่น,ที่ร้านลืมออเดอร์,,10 - 20 นาที,300-500 บาท
รถยนต์ส่วนตัว,ร้านสเต็ก,สบาย ไม่ต้องออกไปซื้อเองคับ ,ร้านจำไม่ได้ว่าเราสั่งอะไร,,10 - 20 นาที,300-500 บาท
เดิน,,สะดวก+ขี้เกียจ,เบื่ออาหารที่โรงอาหาร,,1 - 10 นาที,
รถจักรยาน,"ก๋วยเตี๋ยว, อาหารตามสั่ง, ข้าวมันไก่, ข้าวราดแกง, ร้านน้ำ, ร้านกาแฟ",ไม่เปลืองเวลาและค่าเดินทาง,ร้านอาหารไม่เปิดให้บริการในเวลาดึก,,มากกว่า 30 นาที,
เดิน,,ไม่ต้องออกไปซื้อเอง,ไม่มีร้านอาหารเปิดในวันหยุด,,1 - 10 นาที,
รถจักรยานยนต์,,,วัตถุดิบที่ทำหมด,,10 - 20 นาที,
เดิน,,บางทีเราไม่สดวกที่จะไปซื้ออาหารเอง,ลืมกระเป๋าตังไม่มีเงินสดจ่าย,,มากกว่า 30 นาที,
รถจักรยาน,,อยากกินแต่ขก ออกไปเอง,ร้านไม่รับโอน,,10 - 20 นาที,
รถยนต์ส่วนตัว,,สะดวก เมื่ออยากรับประทานอาหารที่ไม่อยู่ในบริเวณใกล้เคียง,โรงอาหารคนเยอะไม่มีโต๊ะให้นัง,,20 - 30 นาที,
ปั่นจักรยาน,,สะดวก ไม่ต้องเดินทางด้วยตัวเอง,ที่่นั้งไม่เพียงพอกับจำนวนนักศึกษา,,10 - 20 นาที,
เดิน,,สะดวก ไม่ต้องเดินไปไกล,เดินทางไปโรงอาหารลำบาก,,10 - 20 นาที,
รถยนต์ส่วนตัว,,เพราะว่าไม่อยากออกไปซื้อข้างนอก แล้วก็ลดเวลาการออกไปซื้อไว้ไปทำอย่างอื่นด้วย,ไม่มีเมนูที่อยากทาน,,,
รถยนต์ส่วนตัว,,สะดวก,ร้านอาหารมีคิวเยอะ,,,
เดิน,"ก๋วยเตี๋ยว, อาหารตามสั่ง, ข้าวมันไก่, ข้าวราดแกง, ร้านน้ำ, ร้านกาแฟ",สะดวก รอกินอย่างเดียว ค่าส่งราคาถูก,ร้านอาหารไม่เปิดบริการในวันหยุด,,,
รถประจำทาง,,อยากทานอะไรที่ไม่ขายบริเวณนั้น,มีเวลาพักไม่พอต่อคิว,,,
รถยนต์ส่วนตัว,,,บรรยากาศโรงอาหารไม่น่ารับประทาน,,,
รถจักรยานยนต์,,,สภาพอากาศทำให้ไม่สามารถออกไปซื้อได้,,,
เดิน,,,,,,
รถจักรยานยนต์,,,,,,
เดิน,,,,,,
รถยนต์ส่วนตัว,,,,,,
เดิน,,,,,,
เดิน,,,,,,
รถจักรยานยนต์,,,,,,
รถยนต์ส่วนตัว,"ก๋วยเตี๋ยว, อาหารตามสั่ง, ข้าวมันไก่, ข้าวราดแกง, ร้านน้ำ, ร้านกาแฟ",,,,,
รถยนต์ส่วนตัว,,,,,,
เดิน,,,,,,
รถยนต์ส่วนตัว,"ก๋วยเตี๋ยว, อาหารตามสั่ง, ข้าวมันไก่, ข้าวราดแกง, ร้านน้ำ, ร้านกาแฟ",,,,,
