Vehicle,restaurant,food delivery,Problem,work,เวลาในการรออาหาร,ราคาอาหาร
รถประจำทาง,อาหารตามสั่ง,, ถ้าคิวยาวเกินจะเลือกร้านอื่นแทน,,6 - 10 นาที,100-200 บาท
เดิน,อาหารตามสั่ง,เพราะว่าขี้เกียจออกไปซื้อ,เบื่ื่อร้านอาหารที่มีอยู่,,1 - 5 นาที,51-100บาท
รถยนต์ส่วนตัว,"ก๋วยเตี๋ยว, อาหารตามสั่ง, ข้าวมันไก่, ข้าวราดแกง, ร้านน้ำ, ร้านกาแฟ",เลือกอาหารที่โปรโมชั่น,ไม่รู้จะกินอะไร,,6 - 10 นาที,100-200 บาท
เดิน,ข้าวไข่เจียว,กินกันหลายคน,ไม่มีโต๊ะนั้งกินข้าว,,10 นาทีขึ้นไป,51-100บาท
รถจักรยานยนต์,ร้านอาหารญี่ปุ่น,ร้านอยู่ไกล ไปลำบาก,กินอาหารน้อยลง ,,10 นาทีขึ้นไป,100-200 บาท
เดิน,ร้านยำ,ต้องอยากกินจริงๆโดยที่ตัวเองไม่สามารถไปซื้อได้,อยากกินร้านอาหารข้างนอก,,6 - 10 นาที,51-100บาท
รถจักรยานยนต์,อาหารตามสั่ง,สะดวก ไม่ต้องยืนรอคิว,ร้านอาหารมีคิวเยอะ ,,6 - 10 นาที,500 ขึ้นไป
รถจักรยานยนต์,อาหารตามสั่ง,เลือกอาหารที่อยากรับประทาน,เลิกเรียนช้า ทำให้ไม่เหลืออะไรให้กินเลย,,6 - 10 นาที,100-200 บาท
เดิน,"ก๋วยเตี๋ยว, อาหารตามสั่ง, ข้าวมันไก่, ข้าวราดแกง, ร้านน้ำ, ร้านกาแฟ",คงเพราะ ไม่สามารถไปร้านได้จริงๆ,มีเวลาพักกินข้าวน้อย,,1 - 5 นาที,51-100บาท
รถจักรยานยนต์,อาหารตามสั่ง,ไม่มียานพาหนะ,ไม่อยากกินอาหารจำเจ,,10 นาทีขึ้นไป,300-500 บาท
รถจักรยานยนต์,"ก๋วยเตี๋ยว, อาหารตามสั่ง, ข้าวมันไก่, ข้าวราดแกง, ร้านน้ำ, ร้านกาแฟ",สะดวกสบาย,ไม่มีอาหารที่อยากกิน,,10 นาทีขึ้นไป,300-500 บาท
รถยนต์,"ก๋วยเตี๋ยว, อาหารตามสั่ง, ข้าวมันไก่, ข้าวราดแกง, ร้านน้ำ, ร้านกาแฟ",หิวครับ,หาโต๊ะนั้งไม่ได้,,10 นาทีขึ้นไป,500 ขึ้นไป
รถจักรยาน,อาหารตามสั่ง,ขี้เกียจ,ไม่ชอบกลิ่นที่โรงอาหาร,,6 - 10 นาที,300-500 บาท
รถยนต์ส่วนตัว,ร้านปิ้งย่าง,ขี้เกียจออกไปข้างนอก,คณะอื่นเยอะมาก อาหารซ้ำซาก บางทีอยากกินแถวซอยหอ แต่เวลาก็ไม่ค่อยพอ เลยต้องกินในคณะไปก่อน โรงอาหารร้อนมาก และอบมาก ,,10 นาทีขึ้นไป,100-200 บาท
รถจักรยาน,"ก๋วยเตี๋ยว, อาหารตามสั่ง, ข้าวมันไก่, ข้าวราดแกง, ร้านน้ำ, ร้านกาแฟ",ไม่สะดวกออกไปซื้อ,"ควันเยอะ, ร้อน, แมลงวัน ไม่ค่อยน่านั่ง",,6 - 10 นาที,100-200 บาท
เดิน,ร้านส้มตำ,ขี้เกียจออกจากหอ,คนเยอะ ต่อคิวนาน,,6 - 10 นาที,100-200 บาท
เดิน,ร้านส้มตำ,ขี้เกียจออกไปซื้อเอง + ถ้าเป็นช่วงสอบ การออกไปข้างนอกจะเสียเวลาค่อนข้างมาก,อาจาร์ยสอนเกินเวลาไม่มีอาหารเหลือให้กิน,,1 - 5 นาที,100-200 บาท
รถจักรยานยนต์,"ก๋วยเตี๋ยว, อาหารตามสั่ง, ข้าวมันไก่, ข้าวราดแกง, ร้านน้ำ, ร้านกาแฟ","ตัวเลือกอาหารหลากหลาย, บางทีไม่สะดวกออกไปซื้อเอง",ขี้เกียจต่อแถว,,6 - 10 นาที,51-100บาท
รถประจำทาง,ร้านหมูกะทะ,สะดวกสบาย,คนเยอะ เบื่ออาหารในคณะ วุ่นวาย ร้อน,,1 - 5 นาที,100-200 บาท
รถจักรยาน,ร้านส้มตำ,สะดวก สบาย ไม่ต้องเดินทาง ไม่ต้องเสียเวลาเดินทางไปซื้ออาหาร,มาทำงานวันหยุดไม่มีร้านอาหารเปิด,,10 นาทีขึ้นไป,51-100บาท
รถยนต์ส่วนตัว,"ก๋วยเตี๋ยว, อาหารตามสั่ง, ข้าวมันไก่, ข้าวราดแกง, ร้านน้ำ, ร้านกาแฟ",ความสะดวก,ทำงานดึกทำให้ไม่มีร้านอาหารเปิด,,10 นาทีขึ้นไป,100-200 บาท
เดิน,ข้าวราดแกง,สะดวก รวดเร็ว,ร้านอาหารมีจำนวนไม่มากพอที่จะรับจำนวนนักศึกษา,,6 - 10 นาที,100-200 บาท
รถจักรยาน,"ก๋วยเตี๋ยว, อาหารตามสั่ง, ข้าวมันไก่, ข้าวราดแกง, ร้านน้ำ, ร้านกาแฟ",อยากกินอาหารสิ่งนั้นๆ,โดนลัดคิว,,10 - 20 นาที,100-200 บาท
รถจักรยานยนต์,อาหารตามสั่ง,ได้กินอาหารที่อยากกิน,ต่อคิวนาน คนเยอะมาก เนื่องจากหลายคณะมากินโรงอาหารเดียวกับเรา ทำให้บางร้านต้องรอคิวนาน และอาหารไม่ค่อยหลากหลาย,,มากกว่า 30 นาที,100-200 บาท
รถจักรยานยนต์,ราเมง,ไม่อยากออกไปข้างนอก,ควันที่ร้านข้าวตามสั่งทำเยอะทำให้ไม่อยากกิน,,1 - 10 นาที,100-200 บาท
รถยนต์ส่วนตัว,ร้านอาหารญี่ปุ่น,สะดวก,ไม่รู้จะกินอะไร,,10 - 20 นาที,51-100บาท
เดิน,ร้านซูชิ,โปรโมชั่น,ที่ร้านลืมออเดอร์,,10 - 20 นาที,300-500 บาท
รถยนต์ส่วนตัว,ร้านสเต็ก,สบาย ไม่ต้องออกไปซื้อเองคับ ,ร้านจำไม่ได้ว่าเราสั่งอะไร,,10 - 20 นาที,300-500 บาท
เดิน,ร้านก๋วยเตี๋ยว,สะดวก+ขี้เกียจ,เบื่ออาหารที่โรงอาหาร,,1 - 10 นาที,40-90บาท
รถจักรยาน,"ก๋วยเตี๋ยว, อาหารตามสั่ง, ข้าวมันไก่, ข้าวราดแกง, ร้านน้ำ, ร้านกาแฟ",ไม่เปลืองเวลาและค่าเดินทาง,ร้านอาหารไม่เปิดให้บริการในเวลาดึก,,มากกว่า 30 นาที,40-60บาท
เดิน,ร้านปิ้งย่าง,ไม่ต้องออกไปซื้อเอง,ไม่มีร้านอาหารเปิดในวันหยุด,,1 - 10 นาที,25-75บาท
รถจักรยานยนต์,"ก๋วยเตี๋ยว, อาหารตามสั่ง, ข้าวมันไก่, ข้าวราดแกง, ร้านน้ำ, ร้านกาแฟ",ไม่มีเวลาไปต่อคิว,วัตถุดิบที่ทำหมด,,10 - 20 นาที,25-100บาท
เดิน,ร้านหม้อไฟเกาหลี,บางทีเราไม่สดวกที่จะไปซื้ออาหารเอง,ลืมกระเป๋าตังไม่มีเงินสดจ่าย,,มากกว่า 30 นาที,50-200บาท
รถจักรยาน,"ก๋วยเตี๋ยว, อาหารตามสั่ง, ข้าวมันไก่, ข้าวราดแกง, ร้านน้ำ, ร้านกาแฟ",อยากกินแต่ขก ออกไปเอง,ร้านไม่รับโอน,,10 - 20 นาที,40-250บาท
รถยนต์ส่วนตัว,ร้านอาหารญี่ปุ่น,สะดวก เมื่ออยากรับประทานอาหารที่ไม่อยู่ในบริเวณใกล้เคียง,โรงอาหารคนเยอะไม่มีโต๊ะให้นัง,,20 - 30 นาที,25-100บาท
ปั่นจักรยาน,ร้านส้มตำ,สะดวก ไม่ต้องเดินทางด้วยตัวเอง,ที่่นั้งไม่เพียงพอกับจำนวนนักศึกษา,,10 - 20 นาที,30-200 บาท
เดิน,ร้านอาหารญี่ปุ่น,สะดวก ไม่ต้องเดินไปไกล,เดินทางไปโรงอาหารลำบาก,,10 - 20 นาที,20-150บาท
รถยนต์ส่วนตัว,ร้านซูชิ,เพราะว่าไม่อยากออกไปซื้อข้างนอก แล้วก็ลดเวลาการออกไปซื้อไว้ไปทำอย่างอื่นด้วย,ไม่มีเมนูที่อยากทาน,,10-15นาที,35-200 บาท
รถยนต์ส่วนตัว,ร้านส้มตำ,สะดวก,ร้านอาหารมีคิวเยอะ,,มากว่า 5 นาที,100 -300 บาท
เดิน,"ก๋วยเตี๋ยว, อาหารตามสั่ง, ข้าวมันไก่, ข้าวราดแกง, ร้านน้ำ, ร้านกาแฟ",สะดวก รอกินอย่างเดียว ค่าส่งราคาถูก,ร้านอาหารไม่เปิดบริการในวันหยุด,,5 - 10 นาที,50-300 บาท
รถประจำทาง,ร้านปิ้งย่าง,อยากทานอะไรที่ไม่ขายบริเวณนั้น,มีเวลาพักไม่พอต่อคิว,,5-20นาที,40-200 บาท
รถยนต์ส่วนตัว,ร้านปิ้งย่าง,ไม่มีร้านที่ขายอาหารที่อยากกิน,บรรยากาศโรงอาหารไม่น่ารับประทาน,,10-15นาที,20-80บาท
รถจักรยานยนต์,ร้านซูชิ,โปรโมชั่นถูกกว่าซื้อหน้าร้าน,สภาพอากาศทำให้ไม่สามารถออกไปซื้อได้,,15-20นาที,101-250 บาท
เดิน,ร้านอาหารญี่ปุ่น,ไม่มีเวลาพักลงไปซื้อ,โรงอาหารคนต่อคิวเยอะ,,5-10 นาที,250-500บาท
รถจักรยานยนต์,ร้านปิ้งย่าง,ร้านแถวที่อยู่ไม่เปิดให้บริการ,คนรอสั่งอาหารเยอะ,,15- 45 นาที,50-200บาท
เดิน,ร้านอาหารญี่ปุ่น,อยากกินร้านใหม่ๆ,อาหารหมด,,มากกว่า20นาที,80-300 บาท
รถยนต์ส่วนตัว,บุฟเฟ่ต์,เลือกร้านที่อยากกินได้ไม่ต้องขยับตัว,ร้านอาหารมีน้อยกว่าจำนวนนักศึกษา,,มากกว่า30นาที,60-90บาท
เดิน,ร้านซูชิ,เลือกเมนูที่อยากกินแล้วกดสั่งได้เลย,เบื่อเมนูอาหารในโรงอาหาร, ,10-30 นาที,40 - 90บาท
เดิน,ร้านข้้าวต้มกุ๋ย,ไม่อยากออกไปเจอรถติด,ไม่มีร้านที่ทำอร่อย,,5-10นาที,35-100บาท
รถจักรยานยนต์,ร้านอาหารญี่ปุ่น,ไม่ต้องต่อคิวซื้อเอง,ร้านไม่เปิดในช่วยปิดเทอม,,10-20 นาที ,40-80บาท
รถยนต์ส่วนตัว,"ก๋วยเตี๋ยว, อาหารตามสั่ง, ข้าวมันไก่, ข้าวราดแกง, ร้านน้ำ, ร้านกาแฟ",หิวเมื่อไหรก็สั่งได้,คนเยอะรอคิวนาน,,5-15 นาที,30-150บาท
รถยนต์ส่วนตัว,ร้านข้าวต้มปลา,มีอาหารที่หลากหลาย,ไม่อยากไปต่อแถว,,2-3 นาที,20-100บาท
เดิน,ร้านส้มตำ,มีโปรโมชั่นเยอะ,ไม่อยากกินอาหารที่ขายอยู่,,10-15 นาที,50-70บาท
รถยนต์ส่วนตัว,"ก๋วยเตี๋ยว, อาหารตามสั่ง, ข้าวมันไก่, ข้าวราดแกง, ร้านน้ำ, ร้านกาแฟ",มีส่วนลดค่าอาหารเยอะ,อาหารเหลือแต่ร้านที่ไม่อร่อย,,20-30 นาที,20-100บาท
